"Date","JO_Low","JO_High","JO_Close"
1983/01/03,115.7,118.8,115.85
1983/01/04,114.7,116.7,116.6
1983/01/05,114.7,116.7,115.5
1983/01/06,114.9,116,115.35
1983/01/07,111.8,115.8,112.85
1983/01/10,113,114.55,114.15
1983/01/11,114.85,115.5,115.15
1983/01/12,114,115.25,114.4
1983/01/13,115.25,117.9,116.5
1983/01/14,118.8,121.5,120
1983/01/17,115,115,115
1983/01/18,110.25,113.6,110.55
1983/01/19,107.5,110.5,107.9
1983/01/20,107.2,111,110
1983/01/21,107.8,109.4,108.4
1983/01/24,105.6,106.7,105.75
1983/01/25,106.05,107.45,107.05
1983/01/26,106.65,107.4,107.3
1983/01/27,107.4,108.6,108
1983/01/28,107,108.95,107.1
1983/01/31,106.3,107.4,107.25
1983/02/01,106.8,108.15,108.1
1983/02/02,108.05,109.4,108.2
1983/02/03,104.8,108.6,106.55
1983/02/04,106.5,107.55,106.6
1983/02/07,105.1,107,105.35
1983/02/08,104.8,105.85,104.95
1983/02/09,102.9,104.5,103
1983/02/10,102.5,104.2,104
1983/02/11,103.75,106,105.15
1983/02/14,104.6,106,104.85
1983/02/15,104.6,105.6,105.55
1983/02/16,105.9,106.9,106.8
1983/02/17,107.1,109.7,109.35
1983/02/18,108.2,111.35,110.6
1983/02/22,109.25,110.5,110.5
1983/02/23,110.75,112.8,111.95
1983/02/24,110.4,112.75,110.75
1983/02/25,109.5,110.85,109.5
1983/02/28,108.1,110.35,110.35
1983/03/01,110.6,111.7,111
1983/03/02,110.65,111.4,110.8
1983/03/03,108.8,110.65,109.4
1983/03/04,108.7,109.25,108.7
1983/03/07,107.6,109.1,107.85
1983/03/08,107.3,109.6,109.4
1983/03/09,109.8,110.95,110.75
1983/03/10,110.3,111.1,110.7
1983/03/11,109.65,110.5,110.4
1983/03/14,110.5,111.45,110.8
1983/03/15,108.7,110.8,108.8
1983/03/16,109.05,109.5,109.35
1983/03/17,108.7,110.35,110.2
1983/03/18,109.6,111,110.8
1983/03/21,110.8,112.7,112.55
1983/03/22,112.9,113.85,113.3
1983/03/23,113.5,114.6,114.35
1983/03/24,113.75,114.75,114.05
1983/03/25,113.3,114,113.75
1983/03/28,112.6,113.7,113.7
1983/03/29,113.4,114.3,114.15
1983/03/30,113.5,114.15,114.1
1983/03/31,114.05,114.7,114.7
1983/04/04,114.8,115.2,115.1
1983/04/05,114.3,115,114.8
1983/04/06,113.6,114.6,113.6
1983/04/07,113.1,114,113.95
1983/04/08,113.5,114,114
1983/04/11,113.75,114.3,114.25
1983/04/12,113.6,114.9,114.8
1983/04/13,114,114.9,114.55
1983/04/14,114.3,115.1,114.9
1983/04/15,114.9,115.4,115.4
1983/04/18,114.9,115.5,115.2
1983/04/19,114.45,115,114.45
1983/04/20,114.2,114.6,114.55
1983/04/21,114.4,115,114.7
1983/04/22,114.15,114.6,114.2
1983/04/25,112.7,113.8,112.7
1983/04/26,112.7,113.35,113.25
1983/04/27,112.8,113.25,113.1
1983/04/28,112.6,113.15,113.1
1983/04/29,111.2,112.9,111.6
1983/05/02,111.1,111.85,111.4
1983/05/03,111.2,112.3,112
1983/05/04,111.7,112.55,112.55
1983/05/05,112.05,112.45,112.05
1983/05/06,112.2,112.55,112.4
1983/05/09,112.2,113.45,113.25
1983/05/10,113,114,113.05
1983/05/11,113.2,113.95,113.25
1983/05/12,113.4,114,114
1983/05/13,113.9,115.35,115.3
1983/05/16,115.35,116.8,116.4
1983/05/17,115.5,116.5,115.7
1983/05/18,115.05,116.5,116.25
1983/05/19,116.15,116.5,116.15
1983/05/20,116.2,118,117.3
1983/05/23,116.6,117.35,117.35
1983/05/24,116.7,117.2,117.05
1983/05/25,116.7,117.45,117.3
1983/05/26,117.3,118.1,117.5
1983/05/27,117.3,117.8,117.5
1983/05/31,116.1,117.35,116.65
1983/06/01,115.8,116.4,116.05
1983/06/02,115.9,117.1,116.4
1983/06/03,116.35,116.8,116.5
1983/06/06,116.6,117.25,117
1983/06/07,116.5,117.4,116.9
1983/06/08,116.95,117.3,117.25
1983/06/09,116.85,117.15,116.95
1983/06/10,116.5,116.8,116.5
1983/06/13,116.5,117.2,117
1983/06/14,116.75,117,116.95
1983/06/15,116.85,118.5,117.8
1983/06/16,118,119.3,118.95
1983/06/17,118,119,118.8
